RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Three cake rusk products - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16130/krunchi-foods-recalls-cake-rusk-products-incorrect-allergen-labelling,2017-04-04
2,Crab & Chilli Linguine - because of undeclared milk and egg,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16131/tesco-recall-finest-crab-chilli-linguine-undeclared-milk-egg,2017-04-04
3,Fresh Udon Noodles - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16135/hoo-hing-recalls-samlip-fresh-udon-noodles-allergen,2017-04-06
4,Creamy Candy - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16149/interlink-direct-ltd-recalls-white-rabbit-creamy-candy-because-of-incorrect-allergen-labelling,2017-04-12
5,Milk Chocolate Bites Pouch Bag - because of undeclared nuts and peanuts,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16160/nestl-recalls-kitkat-original-milk-chocolate-bites-pouch-bag-undeclared-allergens,2017-04-14
6,Confectionery products - because of undeclared allergens,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16163/fazal-s-recalls-confectionery-products-because-of-undeclared-allergens,2017-04-19
7,Szechuan Chicken - because of undeclared barley,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16171/asda-recalls-limited-edition-szechuan-chicken-because-of-undeclared-barley,2017-04-26
8,Probiotic supplements - because of undeclared milk protein,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16179/renewlifeuk-recalls-probioticsupplements-undeclared-milkprotein,2017-05-04
9,Cornflake Mix snack - because of packaging error,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16181/cofresh-recalls-its-cornflake-mix-snack-because-of-packaging-error,2017-05-06
10,Madagascan Vanilla Extract - because of undeclared almonds,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16187/aldi-recalls-its-madagascan-vanilla-extract-due-to-undeclared-almonds,2017-05-11
11,Cheese & Bacon Burgers - because of undeclared soya (Northern Ireland only),Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16196/musgrave-ni-recalls-cheese-bacon-burgers-undeclared-soya,2017-05-19
12,Gluten Free Organic Pale Ale - because of undeclared barley,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16204/aldi-recalls-brasserie-gluten-free-organic-pale-ale-due-to-undeclared-barley,2017-05-25
13,Chilled Cocktail Sausages - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16209/quorn-foods-recalls-chilled-cocktail-sausages-because-of-incorrect-allergen-labelling,2017-05-31
14,Raspberry Cheesecake - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16211/spar-recalls-all-batches-of-spar-raspberry-cheesecake-400g,2017-06-01
15,Gluten Free Ale - because of an allergen labelling error,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16212/hepworth-co-brewers-ltd-recalls-classic-old-ale-due-to-undeclared-gluten,2017-06-02
16,Gluten Free Chocolate Brownies - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16215/ashbourne-foods-recalls-gluten-free-chocolate-brownies-incorrect-allergen-labelling,2017-06-06
17,Chicken Powder Bouillon - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16222/unilever-recalls-knorr-chicken-powder-bouillon,2017-06-09
18,Sandwich and baguette products - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16223/direct-food-solution-recalls-sandwiches-incorrect-allergen-labelling,2017-06-09
19,Biltong products - because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16224/the-biltong-farm-recalls-its-biltong-products,2017-06-09
20,Various bakery products because of incorrect allergen labelling (Northern Ireland only),Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16257/cherry-tree-home-bakery-recalls-various-products-because-of-incorrect-allergen-labelling,2017-06-16
21,Salted Radish - because of undeclared sulphur dioxide and/or sulphites,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16287/hoo-hing-recalls-fisherman-salted-radish-undeclared-sulphur-dioxide-sulphites,2017-06-27
22,"Mini Vegetable Samosas - because of undeclared milk, soya and wheat (gluten)",Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16286/heron-foods-recalls-xsell-mini-vegetable-samosas-because-of-undeclared-milk-soya-and-wheat-gluten,2017-06-27
23,Edamame Thai Spiced Dip - because of undeclared milk and pistachio nuts,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2017/16302/sainsbury-s-recalls-edamame-thai-spiced-dip-because-of-undeclared-milk-and-pistachio-nuts,2017-06-29
