DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
Waitrose recalls Chinese 6 Vegetable Spring Rolls because of undeclared sesame,Recalled,This product contains sesame making it a possible health risk for anyone with an allergy to sesame.  ,https://www.food.gov.uk/news-alerts/alert/fsa-aa-01-2019,2019-01-02
Sogud Ltd recalls various gluten-free flapjack products as they contain undeclared gluten,Recalled,Cereals containing gluten. This product contains gluten making it a possible health risk for anyone with an allergy or intolerance to gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-02-2019,2019-01-04
Lidl recalls McEnnedy Supersize Peanut Flips and Sondey Organic Biscuits Assorted because of undeclared allergens,Recalled,"Peanuts, Oats (gluten), Sesame, Milk and Nuts. These products contain peanuts, oats (gluten), sesame, milk and nuts making them a possible health risk for anyone with an allergy or intolerance to oats or gluten, an allergy or intolerance to milk or milk constituents, an allergy to peanuts, nuts or and an allergy to sesame.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-03-2019,2019-01-04
Belfield recalls Ice King Strawberry Cones because of undeclared peanuts,Recalled,Peanuts. This product contains peanuts making it a possible health risk for anyone with an allergy to peanuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-04-2019,2019-01-07
Cook Trading Ltd recalls a batch of Cook Sticky Soy & Ginger Beef pots because of undeclared allergens,Recalled,"Eggs and wheat (gluten). This product contains eggs and wheat (gluten) making it a possible health risk for anyone with an allergy or intolerance to egg, wheat or gluten.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-05-2019,2019-01-15
Irving's Homestyle Bakery recalls its Chocolate Crispy due to undeclared wheat (gluten),Recalled,Wheat (gluten). These products contain wheat (gluten) making them a possible health risk for anyone with an allergy or intolerance to wheat or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-06-2019,2019-01-16
Evolution Foods recalls three products because of undeclared sulphites,Recalled,"Sulphites. These products contain sulphites, making them a possible health risk for anyone with a sensitivity to sulphur dioxide and/or sulphites.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-07-2019,2019-01-18
Sainsbury?s recalls ?Deliciously Free From Garlic Pizza Bread? due to undeclared milk,Recalled,"Milk. This product contains milk, making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-08-2019,2019-01-18
Jumbo UK recalls Ghana Taste Tom Brown Millet Based Porridge because of undeclared peanuts,Recalled,Peanuts. This product contains peanut making it a possible health risk for anyone with an allergy to peanuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-09-2019,2019-01-28
The Village Bakery Markethill recalls various own-branded bakery products because of incorrect allergen labelling,Recalled,"Sesame, celery, milk or milk constituents, wheat (gluten), oats (gluten) or barley (gluten). These products may contain sesame, celery, milk or milk constituents, wheat (gluten), oats (gluten) or barley (gluten) making them a possible health risk for anyone with an allergy to sesame or celery or an allergy or intolerance to milk or milk constituents, wheat (gluten), oats (gluten) or barley (gluten).. . Please see attached customer notice PDF for the allergens in each affected product.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-10-2019,2019-02-01
