RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Nutrisport Ltd recalls various Nutrisport and Atlas protein products because of undeclared milk,Recalled,This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-52-2018,2018-07-23
2,Quorn recalls a batch of its 2 Gluten Free Burgers packs because of undeclared gluten,Recalled,This product contains gluten making it a possible health risk for anyone with an allergy or intolerance to gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-53-2018,2018-07-26
3,Bradbury & Son (Buxton) recalls Lo-Col because milk is not emphasised on the labelling,Recalled,This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents,https://www.food.gov.uk/news-alerts/alert/fsa-aa-54-2018,2018-07-26
4,Asco Foods Ltd recalls Dee Thai Crispy Rolls ? Durian Flavour due to undeclared sesame,Recalled,This product contains sesame making it a possible health risk for anyone with an allergy to sesame.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-55-2018,2018-07-27
5,Sainsbury?s recalls ?by Sainsbury?s Coconut & Yogurt filled Breakfast Biscuits? and ?by Sainsbury?s Cocoa filled Breakfast Biscuits? due to undeclared sesame,Recalled,These products contain sesame making them a possible health risk for anyone with an allergy to sesame.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-56-2018,2018-07-27
6,(Updated) Bradbury & Son (Buxton) recalls Lo-Col because milk is not emphasised on the labelling,Recalled,This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents,https://www.food.gov.uk/news-alerts/alert/fsa-aa-54-2018-update-1,2018-07-28
7,Co-op recalls its Hoisin Chicken Noodle Box due to undeclared milk,Recalled,These products contain milk making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-57-2018,2018-07-28
8,Lidl Ireland recalls McEnnedy Peanut Flavoured Supersize Flips as allergens are not declared in English,Recalled,This product contains peanuts and may contain traces of nuts and gluten making it a possible health risk for anyone with an allergy to peanuts and/or nuts and/or an allergy or intolerance to gluten,https://www.food.gov.uk/news-alerts/alert/fsa-aa-58-2018,2018-07-30
9,Star Distribution (UK) Ltd recalls its Cake Zone Muffins 4 pack Chunky Cherry and Double Chocolate Flavour because of incorrect allergen labelling,Recalled,"This product contains egg, milk and wheat (gluten) making it a possible health risk for anyone with an allergy or intolerance to wheat or gluten, egg and/or milk or milk constituents.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-59-2018,2018-08-08
10,E H Booths recalls sandwiches due to incorrect allergen labelling,Recalled,This product contains rye and oats making it a possible health risk for anyone with an allergy to rye or oats.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-60-2018,2018-08-10
11,Clayton Park Bakery recalls various bakery products because they contain barley,Recalled,The products contain barley making them a possible health risk for anyone with an allergy or intolerance to barley or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-61-2018,2018-08-22
12,James Hall & Co recalls take-away sandwich rolls because they contain barley,Recalled,The products contain barley making them a possible health risk for anyone with an allergy or intolerance to barley or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-62-2018,2018-08-23
13,Clayton Park Bakery recalls various bakery products because they contain barley,Recalled,The products contain barley making them a possible health risk for anyone with an allergy or intolerance to barley or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-61-2018-update-1,2018-08-23
14,Lidl Ireland recalls Harvest Basket Potato Croquettes as allergens are not written in English,Recalled,"This product contains wheat (gluten) and egg making it a possible health risk for anyone with an allergy or intolerance to egg, wheat or gluten.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-63-2018,2018-08-31
15,Crosse & Blackwell recalls its Green Vegetable & Kale Soup due to undeclared milk,Recalled,This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-64-2018,2018-08-31
16,Fazila Foods Limited recalls two types of kebab rolls because of undeclared allergens,Recalled,"These products contain milk and sulphites, making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents, and/or a sensitivity to sulphur dioxide and/or sulphites.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-65-2018,2018-09-07
17,Sainsbury?s recalls in store bakery all butter croissant due to undeclared almonds,Recalled,This product contains nuts making it a possible health risk for anyone with an allergy to nuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-66-2018,2018-09-25
18,Creme d?Or recalls assorted chocolates because they contain undeclared natural pistachio flavouring,Recalled,These products may contain pistachio making them a possible health risk for anyone with an allergy to nuts (pistachios).,https://www.food.gov.uk/news-alerts/alert/fsa-aa-67-2018,2018-09-28
19,N J Marketing Ltd recalls Lemon Bonbons because of undeclared allergens,Recalled,This product contains soya & milk making it a possible health risk for anyone with an allergy to soya and an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-68-2018,2018-09-28
