DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
P&B Foods recalls Heera Premium Quality Golden Sultanas because of undeclared sulphites,Recalled,"Sulphites. These products contain sulphites, making them a possible health risk for anyone with a sensitivity to sulphur dioxide and/or sulphites.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-62-2019,2019-07-05
Co-op recalls Veg Taster because of undeclared fish,Recalled,Fish. This product contains fish making it a possible health risk for anyone with an allergy to fish.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-63-2019,2019-07-05
Windmill Organics recalls organic amisa lactose free rice milk chocolate rice cakes because of undeclared milk,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-64-2019,2019-07-12
Leonidas boxed assortment of Belgian Chocolates may contain varieties with undeclared sesame seeds and nuts,Recalled,"Sesame and nuts. These products may contain sesame and/or nuts, making them a possible health risk for anyone with an allergy to sesame and/or nuts.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-65-2019,2019-07-12
Tan Y Castell recalls its Chocolate Chip Griddles because they may contain milk which is not mentioned on the label,Recalled,Milk. This product may contain milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-66-2019,2019-07-15
Flames Foods recalls various frozen products due to undeclared allergens,Recalled,"egg, milk, mustard, nuts (almond), sesame, soya, sulphites, and wheat (gluten),. These products contain egg, milk, mustard, nuts (almond), sesame, soya, sulphites, and wheat (gluten), making them a possible health risk for anyone with allergy and/or intolerance to egg, and/or allergy and/or intolerance to milk or milk constituents, allergy to mustard, nuts (almond), sesame, soya, and/or a sensitivity to sulphur dioxide and/or sulphites, and/or allergy and/or intolerance to wheat (gluten).. . Please see attached PDF for the allergens in each affected product.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-67-2019,2019-07-25
Update: Tan Y Castell recalls its Chocolate Chip Griddles because they may contain milk which is not mentioned on the label,Recalled,Milk. This product may contain milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-66-2019-update-1,2019-07-25
AB World Foods recalls Blue Dragon Street Food Satay Skewers Kit because of undeclared mustard,Recalled,Mustard. This product contains mustard making it a possible health risk for anyone with an allergy to mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-68-2019,2019-08-02
itsu (grocery) recalls itsu veg gyoza because of undeclared prawns,Recalled,Crustaceans. This product may contain prawns making it a possible health risk for anyone with an allergy to crustaceans.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-69-2019,2019-08-03
COOK Trading recalls Green Thai Chicken Curry because of undeclared milk,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-70-2019,2019-08-07
Lidl GB recalls SPEEDFEAST Quarter Pounder with Cheese because of incorrect allergen labelling,Recalled,"Egg, milk and sesame. This product contains egg, milk and sesame making it a possible health risk for anyone with an allergy or intolerance to egg and/or milk or milk constituents and/or an allergy to sesame.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-71-2019,2019-08-08
Sainsbury?s recalls Deliciously Free From 4 Fruity Hot Cross Buns by Sainsbury?s because of undeclared soya,Recalled,"Soya. This product contains soya, making it a possible health risk for anyone with an allergy to soya.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-72-2019,2019-08-09
COOK Trading recalls Green Thai Chicken Curry because of undeclared milk,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-70-2019-update-1,2019-08-13
"Waitrose recalls Waitrose Sweet Potato & Coconut Soup and Waitrose Roasted Tomato, Bean & Quinoa Soup because of undeclared soya",Recalled,Soya. These products contain soya making it a possible health risk for anyone with an allergy to soya.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-73-2019,2019-08-14
Thomas Tucker recalls various Morrisons Popcorn products because they may contain undeclared milk,Recalled,Milk. These products may contain milk making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-74-2019,2019-08-23
Updated: Thomas Tucker recalls several Popcorn products because they may contain undeclared milk,Recalled,Milk. These products may contain milk making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-74-2019-update-1,2019-08-25
Naturli? Foods recalls Naturli? Organic Vegan Spreadable because of undeclared milk,Recalled,Milk. This product may contain milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-75-2019,2019-08-28
Updated: Thomas Tucker recalls several popcorn products because they may contain undeclared milk,Recalled,Milk. These products may contain milk making them a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-74-2019-update-2,2019-08-30
Sunburst Snacks recalls its Spicy Cashews because they may contain undeclared mustard and celery,Recalled,Mustard and Celery. This product contains mustard and celery making it a possible health risk for anyone with an allergy to celery and/or an allergy to mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-77-2019,2019-08-30
Flames Foods recalls various types of frozen products due to undeclared nuts (almond),Recalled,Nuts (Almond). These products may contain nuts (almond) making them a possible health risk for anyone with an allergy to nuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-76-2019,2019-08-30
Waitrose recalls Waitrose Sour Cream and Chive Mix because of undeclared wheat,Recalled,Wheat (gluten). This product contains wheat making it a possible health risk for anyone with an allergy or intolerance to wheat or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-78-2019,2019-09-10
Mondelez UK recalls Belvita Soft Bakes Choco Hazelnut Flavour breakfast biscuits because of undeclared milk,Recalled,Milk. This product may contain milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-79-2019,2019-09-13
Lidl Northern Ireland recalls three products as the allergens are not in English,Recalled,"The above products contain milk, wheat and egg, which have not been mentioned on the label. This makes the product unsafe for anyone with an allergy or intolerance to milk or its constituents, an allergy or intolerance to wheat or gluten and/or an allergy or intolerance to egg.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-80-2019,2019-09-23
