RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Vegetable pie -   undeclared fish.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15564/island-delight-recalling-vegetable-short-crust-pattie,2016-10-06
2,Sausage rolls 6pk - incorrect labelling the product contains milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15570/asda-recalling-tiger-sausage-rolls,2016-10-07
3,Quickeat Poha  - due to incorrect declaration of peanut.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15573/trs-wholesale-co-recalls-quickeat-poha,2016-10-10
4,Two types of condiments -undeclared sulphur dioxide.[1],Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15591/mackays-recall-condiments,2016-10-14
5,Gluten free brownie - due to the presence of walnuts.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15614/lizzie-s-food-factory-recalls-gluten-free-brownie,2016-10-20
6,A batch of flour - due to the presence of gluten,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15620/urja-impex-recalls-sena-farali-lot-flour,2016-10-21
7,Four types of beer - due to undeclared wheat (gluten).,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15652/gower-brewing-recalling-four-types-of-beer,2016-11-01
8,Chinese chicken curry with Egg Fried Rice - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15730/aldi-recalling-chinese-chicken-curry-with-egg-fried-rice,2016-11-16
9,Coconut almond butter - due to undeclared peanut.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15748/pip-nut-recalls-coconut-almond-butter,2016-11-18
10,Energy bars - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/northern-ireland/news-updates/news/2016/15800/boost-and-boom-recall-energybars,2016-12-07
11,Beef sirloin steak with garlic and herb butter - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15782/asda-recalls-sirloin-steak-with-garlic-herb-butter,2016-12-02
12,Rolled white icing due to undeclared almonds.,Recalled,Possible adverse effects to allergy sufferers,https://www.food.gov.uk/news-updates/news/2016/15784/dr-oetker-recalls-regal-ice-rolled-icing-white,2016-12-02
13,2 Vegetable Balti - undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15783/asda-recalls-main-for-2-vegetable-balti,2016-12-02
14,Gingerbread cake - due to undeclared nuts.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15816/co-op-recalls-irresistible-gingerbread-latte-cake,2016-12-13
15,"Four dip and salad products - due to undeclared soya, wheat (gluten) and sesame.",Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15820/delphi-food-recalls-four-products,2016-12-14
16,Chocolate chip cookies - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15846/lenny-and-larry-chocolate-chip-undeclared-milk,2016-12-23
17,Ready salted crisps 6 pack - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15848/sainsbury-s-recalls-ready-salted-crisps,2016-12-30
